"Can't buy %s with qty %s","Can't buy %s with qty %s"
"New order status create : %s","New order status create : %s"
"Order status  %s upload","Order status  %s upload"
"Order status not exist","Order status not exist"
"Order status was changed to %s","Order status was changed to %s"
"Product can't be shipped. Name: %s, Sku: %s","Product can't be shipped. Name: %s, Sku: %s"
"Relation no change. Order status %s is SYSTEM ","Relation no change. Order status %s is SYSTEM "
"Actions","Actions"
"Attributes","Attributes"
"Backorder","Backorder"
"Bill to","Bill to"
"Billing","Billing"
"Comments","Comments"
"Customer Notified","Customer Notified"
"Customer email","Customer email"
"Date added","Date added"
"Date","Date"
"Delivery","Delivery"
"Fax","Fax"
"Grand Total","Grand Total"
"Id","Id"
"Ip","Ip"
"Name","Name"
"No data to print","No data to print"
"Order Date","Order Date"
"Order Number","Order Number"
"Order Status","Order Status"
"Order Subtotal","Order Subtotal"
"Order Total","Order Total"
"Order not found","Order not found"
"Order status %s" already exist"","Order status %s" already exist""
"Order was deleted successfully","Order was deleted successfully"
"Order","Order"
"Orders","Orders"
"Payment Method","Payment Method"
"Payment","Payment"
"Phone","Phone"
"Please direct this email to the Accounting department so that it may","Please direct this email to the Accounting department so that it may"
"Price","Price"
"Products","Products"
"QTY","QTY"
"Qty","Qty"
"Relation not exist %s <=> %s","Relation not exist %s <=> %s"
"SKU","SKU"
"Ship to","Ship to"
"Shipping","Shipping"
"Shipping & Handling","Shipping & Handling"
"Shipping Method","Shipping Method"
"Shipping Tax","Shipping Tax"
"Site","Site"
"Sold to","Sold to"
"Status not exist","Status not exist"
"Status was deleted successfully","Status was deleted successfully"
"Status was saved successfully","Status was saved successfully"
"Subtotal","Subtotal"
"Tax","Tax"
"Total Shipping Charges","Total Shipping Charges"
"Total","Total"
"Undefined","Undefined"
"View All","View All"
"View","View"
"edit","edit"
"new window","new window"
"Recent Orders","Recent Orders"
"No orders found","No orders found"
"Order statuses","Order status"
"Sales","Sales"
"Default Order Status","Default Order Status"
"Order notifications reciever","Order notifications reciever"
"Pattern for Custom Order Number","Pattern for Custom Order Number"
"Prefix for Custom Order Number","Prefix for Custom Order Number"
"All notifications about new orders will be sended to this email","All notifications about new orders will be sended to this email"
"Order created","Order created"
"Your create new order","Your create new order"
