"Home","Home"
"Can't open file with write permissions : %s","Can't open file with write permissions : %s"
"Can't upgrade module to %s. Upgrade file not found","Can't upgrade module to %s. Upgrade file not found"
"Can't write content to file :%s","Can't write content to file :%s"
"Config field '%s' was not found","Config field '%s' was not found"
"Directory %s not readable","Directory %s not readable"
"Incorect filename %s","Incorect filename %s"
"Installation file not found for '%s'","Installation file not found for '%s'"
"Item(s)","Item(s)"
"Module '%s' is installed already","Module '%s' is installed already"
"Module '%s' is required by '%s', but can't be installed","Module '%s' is required by '%s', but can't be installed"
"Module '%s' was successfully installed","Module '%s' was successfully installed"
"Module '%s', (version %s %s) is required by '%s', but can't be upgraded","Module '%s', (version %s %s) is required by '%s', but can't be upgraded"
"Powered by %s v.%s","Powered by %s v.%s"
"Report any %s you've found","Report any %s you've found"
"An error has occured processing your request","An error has occured processing your request"
"Billing Address","Billing Address"
"Box was saved successfully","Box was saved successfully"
"Bugs or Issues","Bugs or Issues"
"Cannot open file with write permissions","Cannot open file with write permissions"
"Close Window","Close Window"
"Config file is corrupted","Config file is corrupted"
"Copyright &copy; 2008, Axis, Inc. All Rights Reserved","Copyright &copy; 2008, Axis, Inc. All Rights Reserved"
"Copyright","Copyright"
"Data was saved successfully","Data was saved successfully"
"Date","Date"
"Dear","Dear"
"Delivery Address","Delivery Address"
"Dir %s not exist","Dir %s not exist"
"E-mail","E-mail"
"Error write file : %s dir chmod 755 need","Error write file : %s dir chmod 755 need"
"File already exist","File already exist"
"Filename","Filename"
"If you feel that you have received this email in error, please send an email to","If you feel that you have received this email in error, please send an email to"
"If you want to change your password, go to %s","If you want to change your password, go to %s"
"If you want to change your password, go to <a href="%s">Change password</a>","If you want to change your password, go to <a href="%s">Change password</a>"
"Incorrect field path","Incorrect field path"
"Latest version of module is already installed","Latest version of module is already installed"
"Login","Login"
"Message was sended to you. Check your mailbox","Message was sended to you. Check your mailbox"
"Module is not installed yet","Module is not installed yet"
"Module was successfully uninstalled","Module was successfully uninstalled"
"No data to save","No data to save"
"Notice","Notice"
"Order","Order"
"Password","Password"
"Report","Report"
"Required fields are missing","Required fields are missing"
"See Details Info","See Details Info"
"Shipping","Shipping"
"Shipping Method","Shipping Method"
"Sites","Sites"
"Template not found","Template not found"
"Template was saved successfully","Template was saved successfully"
"Thank you for your order from %s","Thank you for your order from %s"
"This email address was given to us by you or by one of our customers.","This email address was given to us by you or by one of our customers."
"This link is valid for only 24 hours.","This link is valid for only 24 hours."
"This is reply on your letter to us","This is reply on your letter to us"
"To log in when visiting our site just click","To log in when visiting our site just click"
"Trace","Trace"
"Uninstall file not found","Uninstall file not found"
"Name","Name"
" %s is not writable"," %s is not writable"
"Mail was sended successfully","Mail was sended successfully"
"Mail sending was failed.","Mail sending was failed."
"Please repeat the same password","Please repeat the same password"
"'%value%' has not only alphabetic and digit characters","'%value%' has not only alphabetic and digit characters"
"'%value%' is an empty string","'%value%' is an empty string"
"'%value%' has not only alphabetic characters","'%value%' has not only alphabetic characters"
"'%value%' is an invalid EAN-13 barcode","'%value%' is an invalid EAN-13 barcode"
"'%value%' should be 13 characters","'%value%' should be 13 characters"
"'%value%' should contain only numeric characters","'%value%' should contain only numeric characters"
"'%value%' is an invalid UPC-A barcode","'%value%' is an invalid UPC-A barcode"
"'%value%' should be 12 characters","'%value%' should be 12 characters"
"'%value%' is not between '%min%' and '%max%', inclusively","'%value%' is not between '%min%' and '%max%', inclusively"
"'%value%' is not strictly between '%min%' and '%max%'","'%value%' is not strictly between '%min%' and '%max%'"
"'%value%' must contain between 13 and 19 digits","'%value%' must contain between 13 and 19 digits"
"Luhn algorithm (mod-10 checksum) failed on '%value%'","Luhn algorithm (mod-10 checksum) failed on '%value%'"
"'%value%' does not fit given date format","'%value%' does not fit given date format"
"'%value%' does not appear to be a valid date","'%value%' does not appear to be a valid date"
"'%value%' is not of the format YYYY-MM-DD","'%value%' is not of the format YYYY-MM-DD"
"No record matching %value% was found","No record matching %value% was found"
"A record matching %value% was found","A record matching %value% was found"
"'%value%' contains not only digit characters","'%value%' contains not only digit characters"
"'%value%' is not a valid email address in the basic format local-part@hostname","'%value%' is not a valid email address in the basic format local-part@hostname"
"'%hostname%' is not a valid hostname for email address '%value%'","'%hostname%' is not a valid hostname for email address '%value%'"
"'%hostname%' does not appear to have a valid MX record for the email address '%value%'","'%hostname%' does not appear to have a valid MX record for the email address '%value%'"
"'%localPart%' not matched against dot-atom format","'%localPart%' not matched against dot-atom format"
"'%localPart%' not matched against quoted-string format","'%localPart%' not matched against quoted-string format"
"'%localPart%' is not a valid local part for email address '%value%'","'%localPart%' is not a valid local part for email address '%value%'"
"'%value%' exceeds the allowed length","'%value%' exceeds the allowed length"
"Too much files, maximum '%max%' are allowed but '%count%' are given","Too much files, maximum '%max%' are allowed but '%count%' are given"
"Too less files, minimum '%min%' are expected but '%count%' are given","Too less files, minimum '%min%' are expected but '%count%' are given"
"The file '%value%' does not match the given crc32 hashes","The file '%value%' does not match the given crc32 hashes"
"There was no crc32 hash detected for the given file","There was no crc32 hash detected for the given file"
"The file '%value%' could not be found","The file '%value%' could not be found"
"The file '%value%' has a false extension","The file '%value%' has a false extension"
"The file '%value%' was not found","The file '%value%' was not found"
"The file '%value%' has a false mimetype of '%type%'","The file '%value%' has a false mimetype of '%type%'"
"The mimetype of file '%value%' could not been detected","The mimetype of file '%value%' could not been detected"
"The file '%value%' can not be read","The file '%value%' can not be read"
"The file '%value%' does not exist","The file '%value%' does not exist"
"All files in sum should have a maximum size of '%max%' but '%size%' were detected","All files in sum should have a maximum size of '%max%' but '%size%' were detected"
"All files in sum should have a minimum size of '%min%' but '%size%' were detected","All files in sum should have a minimum size of '%min%' but '%size%' were detected"
"One or more files can not be read","One or more files can not be read"
"The file '%value%' does not match the given hashes","The file '%value%' does not match the given hashes"
"There was no hash detected for the given file","There was no hash detected for the given file"
"Maximum allowed width for image '%value%' should be '%maxwidth%' but '%width%' detected","Maximum allowed width for image '%value%' should be '%maxwidth%' but '%width%' detected"
"Minimum expected width for image '%value%' should be '%minwidth%' but '%width%' detected","Minimum expected width for image '%value%' should be '%minwidth%' but '%width%' detected"
"Maximum allowed height for image '%value%' should be '%maxheight%' but '%height%' detected","Maximum allowed height for image '%value%' should be '%maxheight%' but '%height%' detected"
"Minimum expected height for image '%value%' should be '%minheight%' but '%height%' detected","Minimum expected height for image '%value%' should be '%minheight%' but '%height%' detected"
"The size of image '%value%' could not be detected","The size of image '%value%' could not be detected"
"The image '%value%' can not be read","The image '%value%' can not be read"
"The file '%value%' is not compressed, '%type%' detected","The file '%value%' is not compressed, '%type%' detected"
"The file '%value%' is no image, '%type%' detected","The file '%value%' is no image, '%type%' detected"
"The file '%value%' does not match the given md5 hashes","The file '%value%' does not match the given md5 hashes"
"There was no md5 hash detected for the given file","There was no md5 hash detected for the given file"
"The file '%value%' does exist","The file '%value%' does exist"
"The file '%value%' does not match the given sha1 hashes","The file '%value%' does not match the given sha1 hashes"
"There was no sha1 hash detected for the given file","There was no sha1 hash detected for the given file"
"Maximum allowed size for file '%value%' is '%max%' but '%size%' detected","Maximum allowed size for file '%value%' is '%max%' but '%size%' detected"
"Minimum expected size for file '%value%' is '%min%' but '%size%' detected","Minimum expected size for file '%value%' is '%min%' but '%size%' detected"
"The file '%value%' exceeds the defined ini size","The file '%value%' exceeds the defined ini size"
"The file '%value%' exceeds the defined form size","The file '%value%' exceeds the defined form size"
"The file '%value%' was only partially uploaded","The file '%value%' was only partially uploaded"
"The file '%value%' was not uploaded","The file '%value%' was not uploaded"
"No temporary directory was found for the file '%value%'","No temporary directory was found for the file '%value%'"
"The file '%value%' can't be written","The file '%value%' can't be written"
"The extension returned an error while uploading the file '%value%'","The extension returned an error while uploading the file '%value%'"
"The file '%value%' was illegal uploaded, possible attack","The file '%value%' was illegal uploaded, possible attack"
"Unknown error while uploading the file '%value%'","Unknown error while uploading the file '%value%'"
"Too much words, maximum '%max%' are allowed but '%count%' were counted","Too much words, maximum '%max%' are allowed but '%count%' were counted"
"Too less words, minimum '%min%' are expected but '%count%' were counted","Too less words, minimum '%min%' are expected but '%count%' were counted"
"'%value%' does not appear to be a float","'%value%' does not appear to be a float"
"'%value%' is not greater than '%min%'","'%value%' is not greater than '%min%'"
"'%value%' has not only hexadecimal digit characters","'%value%' has not only hexadecimal digit characters"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' appears to be an IP address, but IP addresses are not allowed"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but contains a dash (-) in an invalid position","'%value%' appears to be a DNS hostname but contains a dash (-) in an invalid position"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' does not match the expected structure for a DNS hostname"
"'%value%' does not appear to be a valid local network name","'%value%' does not appear to be a valid local network name"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' appears to be a local network name but local network names are not allowed"
"'%value%' does not have IBAN","'%value%' does not have IBAN"
"'%value%' has a false format","'%value%' has a false format"
"'%value%' has failed the IBAN check","'%value%' has failed the IBAN check"
"The token '%token%' does not match the given token '%value%'","The token '%token%' does not match the given token '%value%'"
"No token was provided to match against","No token was provided to match against"
"'%value%' was not found in the haystack","'%value%' was not found in the haystack"
"'%value%' does not appear to be an integer","'%value%' does not appear to be an integer"
"'%value%' does not appear to be a valid IP address","'%value%' does not appear to be a valid IP address"
"'%value%' is not less than '%max%'","'%value%' is not less than '%max%'"
"Value is required and can't be empty","Value is required and can't be empty"
"'%value%' does not match against pattern '%pattern%'","'%value%' does not match against pattern '%pattern%'"
"'%value%' is less than %min% characters long","'%value%' is less than %min% characters long"
"'%value%' is greater than %max% characters long","'%value%' is greater than %max% characters long"
"Root category wasn't changed. Some categories already linked with the site %s. Unlink them from the site first","Root category wasn't changed. Some categories already linked with the site %s. Unlink them from the site first"
"Record %s already exist","Record %s already exist"
"Record %s doesn't found","Record %s doesn't found"
"Incorrect password","Incorrect password"
"Password confirmation does not match","Password confirmation does not match"
"Page not found","Page not found"
"Sorry, the page you requested not found.","Sorry, the page you requested not found."
"There might be a typing error in the address.","There might be a typing error in the address."
"If you clicked on a link, it may be out of date.","If you clicked on a link, it may be out of date."
"Please try following:","Please try following:"
"Retype the address.","Retype the address."
"Go to our <a href='%s'>home page</a>.","Go to our <a href='%s'>home page</a>."
"The server encountered an internal error or misconfiguration and was unable to complete your request.","The server encountered an internal error or misconfiguration and was unable to complete your request."
"More information about this error may be available in the server error log.","More information about this error may be available in the server error log."
"Try to find page you want, using our search.","Try to find page you want, using our search."
"Call to undefined method '%s'","Call to undefined method '%s'"
"Instance of %s expected, %s given","Instance of %s expected, %s given"
"Core","Core"
"Design","Design"
"Mail","Mail"
